"category","filename","n"
"glass","glass_01.mp3",12
"glass","glass_06.mp3",11
"glass","glass_02.mp3",7
"glass","glass_05.mp3",2
"tear","tear_01.mp3",15
"tear","tear_03.mp3",8
"tear","tear_02.mp3",6
"tear","tear_04.mp3",4
"water","water_05.mp3",19
"water","water_06.mp3",10
"water","water_04.mp3",4
"water","water_03.mp3",0
"zipper","zipper_04.mp3",14
"zipper","zipper_01.mp3",10
"zipper","zipper_03.mp3",4
"zipper","zipper_05.mp3",4
