transcription_survey_name,chain_name,seed_id,message_id,text,n,order,is_english
hand picked 1,zipper,47,377,veeeep,1,13,False
hand picked 1,zipper,47,377,veeep,1,14,False
hand picked 1,zipper,47,377,veekup,1,15,False
hand picked 1,zipper,47,377,veyip,1,16,False
hand picked 1,zipper,47,377,zeeee pp,1,17,False
hand picked 1,zipper,47,377,zeep,1,18,False
hand picked 1,zipper,49,505,izit,5,1,False
hand picked 1,zipper,49,505,izzit,4,2,False
hand picked 1,zipper,49,505,Izzzit,2,3,False
hand picked 1,zipper,49,505,iszit,2,4,False
hand picked 1,zipper,49,505,Izzip,1,5,False
hand picked 1,zipper,49,505,Izzzip,1,6,False
hand picked 1,zipper,49,505,ZIP,1,7,True
hand picked 1,zipper,49,505,eezzit,1,8,False
hand picked 1,zipper,49,505,iszzzip,1,9,False
hand picked 1,zipper,49,505,izip,1,10,False
hand picked 1,zipper,49,505,izziiiip,1,11,False
hand picked 1,zipper,49,505,izzip,1,12,False
hand picked 1,zipper,49,505,izzitt,1,13,False
hand picked 1,zipper,49,505,izzzzit,1,14,False
hand picked 1 seeds,glass,34,34,clank,2,1,True
hand picked 1 seeds,glass,34,34,Bubtedew,1,2,False
hand picked 1 seeds,glass,34,34,Clanking,1,3,True
hand picked 1 seeds,glass,34,34,a piece of metal being dropped,1,4,True
hand picked 1 seeds,glass,34,34,atinga,1,5,False
hand picked 1 seeds,glass,34,34,bugongong,1,6,False
hand picked 1 seeds,glass,34,34,clatter,1,7,True
hand picked 1 seeds,glass,34,34,cling,1,8,True
hand picked 1 seeds,glass,34,34,clipapap,1,9,False
hand picked 1 seeds,glass,34,34,cluclaclut,1,10,False
hand picked 1 seeds,glass,34,34,clunk,1,11,True
hand picked 1 seeds,glass,34,34,didingdink,1,12,False
hand picked 1 seeds,glass,34,34,ding,1,13,True
hand picked 1 seeds,glass,34,34,oqueo,1,14,False
hand picked 1 seeds,glass,34,34,patinka,1,15,False
hand picked 1 seeds,glass,34,34,ta-ting-go,1,16,False
hand picked 1 seeds,glass,34,34,ting-ding,1,17,False
hand picked 1 seeds,glass,34,34,tintanging,1,18,False
hand picked 1 seeds,glass,35,35,clink,3,1,True
hand picked 1 seeds,glass,35,35,Clinket,1,2,False
hand picked 1 seeds,glass,35,35,Cranking,1,3,True
