"transcription_survey_name","chain_name","seed_id","message_id","text","n","order"
"hand picked 1","glass",34,566,"dundunda",9,1
"hand picked 1","glass",34,566,"dundundah",2,2
"hand picked 1","glass",34,566,"dundunduh",2,3
"hand picked 1","glass",34,566,"dahduhda",1,4
"hand picked 1","glass",35,502,"goracto",5,1
"hand picked 1","glass",35,502,"gorecto",3,2
"hand picked 1","glass",35,502,"correcto",2,3
"hand picked 1","glass",35,502,"directo",2,4
"hand picked 1","tear",39,560,"a chechyu",1,1
"hand picked 1","tear",39,560,"a-chitch-shu",1,2
"hand picked 1","tear",39,560,"achechchu",1,3
"hand picked 1","tear",39,560,"achechew",1,4
"hand picked 1","tear",41,522,"sheah",3,1
"hand picked 1","tear",41,522,"sheyah",2,2
"hand picked 1","tear",41,522,"shiyah",2,3
"hand picked 1","tear",41,522,"cheea",1,4
"hand picked 1","water",42,563,"chewchewshewa",1,1
"hand picked 1","water",42,563,"chewscutcutsew",1,2
"hand picked 1","water",42,563,"chicochicochicochico",1,3
"hand picked 1","water",42,563,"chochocchoocho",1,4
"hand picked 1","water",45,466,"glongglong",8,1
"hand picked 1","water",45,466,"glonglong",7,2
"hand picked 1","water",45,466,"glong glong",3,3
"hand picked 1","water",45,466,"glong-glong",2,4
"hand picked 1","zipper",47,377,"veeb",2,1
"hand picked 1","zipper",47,377,"veeeep",2,2
"hand picked 1","zipper",47,377,"bveeeeeep",1,3
"hand picked 1","zipper",47,377,"ceep",1,4
"hand picked 1","zipper",49,505,"izit",5,1
"hand picked 1","zipper",49,505,"izzit",4,2
"hand picked 1","zipper",49,505,"iszit",2,3
"hand picked 1","zipper",49,505,"izzip",2,4
