HITId,hit_title,experiment,AcceptTime,ApprovalTime,Assignment,AssignmentId,AssignmentStatus,AutoApprovalTime,RejectionTime,SubmitTime,WorkerId,comments,completionCode
3VW0145YLYD78I9YNZI4SE0YCPXMJM,Play the childhood game of telephone on the web.,imitations,2016-03-02T19:32:29Z,2016-03-04T19:40:16Z,,36U2A8VAG105032OEPBTC8J2TZXYKZ,Approved,2016-03-04T19:35:50Z,,2016-03-02T19:35:50Z,AAWMZ1HKXEFNY,,
3VW0145YLYD78I9YNZI4SE0YCPXMJM,Play the childhood game of telephone on the web.,imitations,2016-03-02T19:32:07Z,2016-03-04T19:40:16Z,,3UN61F00HWQTLJ5ZT7FT2N7NTMOR56,Approved,2016-03-04T19:36:12Z,,2016-03-02T19:36:12Z,A3FRH36NOROTS6,,
3VW0145YLYD78I9YNZI4SE0YCPXMJM,Play the childhood game of telephone on the web.,imitations,2016-03-02T19:38:59Z,2016-03-04T19:45:16Z,,37WLF8U1WPR3HJSI86G1THZ9UP56K8,Approved,2016-03-04T19:40:54Z,,2016-03-02T19:40:54Z,A17KIXJGFCB7ZQ,,
3VW0145YLYD78I9YNZI4SE0YCPXMJM,Play the childhood game of telephone on the web.,imitations,2016-03-02T19:41:02Z,2016-03-04T19:45:16Z,,32KTQ2V7RDGLPQUJRPWTS4IF9V8M94,Approved,2016-03-04T19:42:33Z,,2016-03-02T19:42:33Z,A2AWDYE8TVVZMV,,
3VW0145YLYD78I9YNZI4SE0YCPXMJM,Play the childhood game of telephone on the web.,imitations,2016-03-02T19:41:23Z,2016-03-04T19:45:16Z,,3EKVH9QMEY57LC37TNIBZRN7UB72DB,Approved,2016-03-04T19:45:07Z,,2016-03-02T19:45:07Z,A1B7F9RI2UZ7JP,,
3VW0145YLYD78I9YNZI4SE0YCPXMJM,Play the childhood game of telephone on the web.,imitations,2016-03-02T19:48:18Z,2016-03-04T19:55:16Z,,30BUDKLTXDW4CF0U71VT3G84EXZ5E8,Approved,2016-03-04T19:50:52Z,,2016-03-02T19:50:52Z,AKNGE4XEUT8SF,,
3VW0145YLYD78I9YNZI4SE0YCPXMJM,Play the childhood game of telephone on the web.,imitations,2016-03-02T19:50:59Z,2016-03-04T19:55:16Z,,3WJ1OXY92AHK9K2KPU0AJHS4V828AI,Approved,2016-03-04T19:53:03Z,,2016-03-02T19:53:03Z,A1VOWQJOBWOVKG,,
3VW0145YLYD78I9YNZI4SE0YCPXMJM,Play the childhood game of telephone on the web.,imitations,2016-03-02T21:13:12Z,2016-03-04T21:15:16Z,,3Z3ZLGNNSIVQV33V2920I0ZYJ5R3QP,Approved,2016-03-04T21:15:00Z,,2016-03-02T21:15:00Z,A2S2CN7P2X1ARW,,
3VW0145YLYD78I9YNZI4SE0YCPXMJM,Play the childhood game of telephone on the web.,imitations,2016-03-02T21:42:30Z,2016-03-04T21:50:16Z,,3EFE17QCRC6H2RP79YG7HUF9KY1SHH,Approved,2016-03-04T21:48:36Z,,2016-03-02T21:48:36Z,A2ART855LRG5ZY,,
363A7XIFV4NFXC037L6IMBGSDWOAVM,Play the childhood game of telephone on the web.,imitations,2016-03-02T21:15:21Z,2016-03-04T21:20:16Z,,3WRFBPLXRAP5S6Q3MHAJE64TEU4N3M,Approved,2016-03-04T21:17:39Z,,2016-03-02T21:17:39Z,A115A6OQBJFVVS,,
