x,y,edge_type
root,glass,vis
root,tear,vis
root,water,vis
root,zipper,vis
233-4-5,233-4-5-6,invis
233-4-5-6,233-4-5-6-7,invis
233-4-5-6-7,233-4-5-6-7-8,invis
251,251-3,invis
251-3,251-3-4,invis
251-3-4,251-3-4-5,invis
251-3-4-5,251-3-4-5-6,invis
251-3-4-5-6,251-3-4-5-6-7,invis
251-3-4-5-6-7,251-3-4-5-6-7-8,invis
305,305-3,invis
305-3,305-3-4,invis
305-3-4,305-3-4-5,invis
305-3-4-5,305-3-4-5-6,invis
305-3-4-5-6,305-3-4-5-6-7,invis
305-3-4-5-6-7,305-3-4-5-6-7-8,invis
324,324-4,invis
324-4,324-4-5,invis
324-4-5,324-4-5-6,invis
324-4-5-6,324-4-5-6-7,invis
324-4-5-6-7,324-4-5-6-7-8,invis
326,326-4,invis
326-4,326-4-5,invis
326-4-5,326-4-5-6,invis
326-4-5-6,326-4-5-6-7,invis
326-4-5-6-7,326-4-5-6-7-8,invis
377,377-6,invis
377-6,377-6-7,invis
377-6-7,377-6-7-8,invis
385,385-6,invis
385-6,385-6-7,invis
385-6-7,385-6-7-8,invis
412,412-6,invis
412-6,412-6-7,invis
412-6-7,412-6-7-8,invis
415,415-6,invis
415-6,415-6-7,invis
415-6-7,415-6-7-8,invis
421,421-6,invis
421-6,421-6-7,invis
421-6-7,421-6-7-8,invis
433,433-7,invis
433-7,433-7-8,invis
442,442-6,invis
442-6,442-6-7,invis
442-6-7,442-6-7-8,invis
445,445-5,invis
445-5,445-5-6,invis
445-5-6,445-5-6-7,invis
445-5-6-7,445-5-6-7-8,invis
448,448-6,invis
448-6,448-6-7,invis
448-6-7,448-6-7-8,invis
453,453-7,invis
453-7,453-7-8,invis
454,454-7,invis
454-7,454-7-8,invis
455,455-6,invis
455-6,455-6-7,invis
455-6-7,455-6-7-8,invis
461,461-7,invis
461-7,461-7-8,invis
466,466-6,invis
466-6,466-6-7,invis
466-6-7,466-6-7-8,invis
468,468-7,invis
468-7,468-7-8,invis
473,473-7,invis
473-7,473-7-8,invis
479,479-6,invis
479-6,479-6-7,invis
479-6-7,479-6-7-8,invis
487,487-6,invis
487-6,487-6-7,invis
487-6-7,487-6-7-8,invis
489,489-6,invis
489-6,489-6-7,invis
489-6-7,489-6-7-8,invis
490,490-8,invis
495,495-8,invis
497,497-6,invis
497-6,497-6-7,invis
497-6-7,497-6-7-8,invis
499,499-8,invis
500,500-8,invis
502,502-7,invis
502-7,502-7-8,invis
506,506-7,invis
506-7,506-7-8,invis
511,511-7,invis
511-7,511-7-8,invis
512,512-8,invis
513,513-7,invis
513-7,513-7-8,invis
515,515-7,invis
515-7,515-7-8,invis
517,517-8,invis
519,519-8,invis
520,520-7,invis
520-7,520-7-8,invis
521,521-8,invis
522,522-8,invis
524,524-7,invis
524-7,524-7-8,invis
525,525-8,invis
527,527-8,invis
528,528-8,invis
531,531-7,invis
531-7,531-7-8,invis
532,532-8,invis
534,534-7,invis
534-7,534-7-8,invis
537,537-8,invis
538,538-7,invis
538-7,538-7-8,invis
540,540-4,invis
540-4,540-4-5,invis
540-4-5,540-4-5-6,invis
540-4-5-6,540-4-5-6-7,invis
540-4-5-6-7,540-4-5-6-7-8,invis
541,541-4,invis
541-4,541-4-5,invis
541-4-5,541-4-5-6,invis
541-4-5-6,541-4-5-6-7,invis
541-4-5-6-7,541-4-5-6-7-8,invis
543,543-8,invis
554,554-7,invis
554-7,554-7-8,invis
555,555-6,invis
555-6,555-6-7,invis
555-6-7,555-6-7-8,invis
556,556-8,invis
557,557-8,invis
561,561-8,invis
563,563-7,invis
563-7,563-7-8,invis
564,564-7,invis
564-7,564-7-8,invis
565,565-8,invis
566,566-8,invis
