branch_id,sound_x,sound_y,similarity
0,62,181,59.015544590929494
0,181,250,54.844657886258524
0,250,308,57.11442660082964
0,308,394,104.73301890167363
0,394,458,98.61885587027776
0,458,507,36.52041051702024
0,507,552,43.57799846783545
1,204,206,65.43325305567389
1,206,280,57.23204115304413
1,280,316,56.6765600792621
1,316,376,73.04560496471983
1,376,424,58.009025895621406
1,424,535,54.63860355538005
1,535,559,69.00969517178352
2,135,222,56.83469394467303
2,222,292,47.06891177817002
2,292,304,49.364425105787056
2,304,370,78.69459762604451
2,370,472,93.75309167046414
2,472,510,83.42886486348495
2,510,560,72.54642698260494
3,145,196,63.04170185970136
3,196,243,69.90371461415832
3,243,328,57.69890003531919
3,328,373,61.120275902673185
3,373,450,105.0794206988515
3,450,530,90.60222507041047
3,530,567,55.444120801129024
4,51,216,55.99892594407543
4,216,248,100.13295818179537
4,248,339,98.42728630144445
4,339,398,81.94740714553231
4,398,467,82.78100185139778
4,467,490,54.55613937816723
5,54,167,78.27710252605694
60,54,167,78.27710252605694
5,167,287,75.3253520095616
60,167,287,75.3253520095616
5,287,298,61.05127604017954
60,287,298,61.05127604017954
5,298,436,56.72920814093901
5,436,481,64.81806559395106
5,481,495,66.31980965871568
6,70,166,161.3344089589519
6,166,273,68.01887954750329
6,273,306,57.438014546013534
6,306,422,96.18664162692076
6,422,462,104.82839689050714
6,462,499,93.19234137237703
7,140,225,65.59404245809063
28,140,225,65.59404245809063
7,225,269,57.058442027747425
28,225,269,57.058442027747425
7,269,320,51.91418511009208
7,320,408,55.90102200051795
7,408,482,56.77939658389278
7,482,500,100.48480078023005
8,60,191,85.56558237571923
8,191,237,54.290251354751064
8,237,299,55.513340452124936
8,299,357,60.84468724994927
8,357,456,52.46117940173119
8,456,512,69.49969157274903
9,91,163,78.40339923439575
9,163,261,81.1016055458408
9,261,311,76.89432624984198
9,311,362,57.281111287266995
9,362,463,63.35935303538155
9,463,514,60.053099530309915
10,55,203,51.26809610307319
36,55,203,51.26809610307319
10,203,213,52.83624684328648
36,203,213,52.83624684328648
10,213,318,54.49792846386445
36,213,318,54.49792846386445
10,318,371,57.36978050120334
36,318,371,57.36978050120334
10,371,508,58.6953794078813
10,508,517,54.2497793786256
11,71,197,152.70319000839027
11,197,271,52.344062644666074
11,271,296,48.31546790086195
11,296,407,57.46086889477409
11,407,447,86.43493793033622
11,447,519,77.55990492263071
12,103,182,68.69231442717656
14,103,182,68.69231442717656
61,103,182,68.69231442717656
76,103,182,68.69231442717656
12,182,276,61.947771731578634
12,276,352,50.39308764921745
12,352,418,48.591698233100345
12,418,477,51.15304092005284
12,477,521,75.26678843361833
13,100,155,63.21694930412145
35,100,155,63.21694930412145
